City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,al quwayrah,29.8004,35.3116,294.81,59,0,1.27,JO,1787096175
220,cabo san lucas,22.8909,-109.9124,304.32,54,98,4.12,MX,1787095585
221,arraial do cabo,-22.9661,-42.0278,296.36,81,1,13.09,BR,1787095761
222,aromashevo,56.8602,68.6375,285.54,87,100,1.9,RU,1787096178
223,severo-yeniseyskiy,60.3725,93.0408,284.07,80,94,1.37,RU,1787095797
224,cockburn town,21.4612,-71.1419,302.13,74,87,3.09,TC,1787095694
225,weno,7.4515,151.8468,301.12,83,99,5.66,FM,1787095753
226,aykhal,66.0,111.5,281.34,64,26,3.87,RU,1787096182
227,puerto natales,-51.7236,-72.4875,276.78,79,88,7.43,CL,1787095746
228,gwanda,-20.9333,29.0,285.49,38,0,1.78,ZW,1787096184
229,searcy,35.2506,-91.7363,309.86,50,1,4.12,US,1787095957
230,rongelap,11.1635,166.8941,301.66,76,17,3.66,MH,1787095758
231,ardakan,32.31,54.0175,302.09,14,0,0.61,IR,1787096188
232,olinda,-8.0089,-34.8553,296.0,100,42,7.72,BR,1787095623
233,bonthe,7.5264,-12.505,297.54,93,100,2.58,SL,1787095781
234,lorengau,-2.0226,147.2712,301.29,65,86,6.93,PG,1787095722
235,ilheus,-14.7889,-39.0494,296.05,88,38,3.6,BR,1787096193
236,punta del este,-34.9667,-54.95,284.21,91,100,3.58,UY,1787095919
237,pachino,36.7186,15.0907,299.87,74,0,7.44,IT,1787096195
238,lazaro cardenas,17.9583,-102.2,306.38,64,68,6.14,MX,1787095754
239,saynshand,44.8824,110.1163,297.64,33,44,2.46,MN,1787096197
240,bereznik,62.8551,42.7072,284.76,98,45,2.3,RU,1787096200
241,acarau,-2.8856,-40.12,298.92,76,56,8.14,BR,1787096201
242,sao gabriel da cachoeira,-0.1303,-67.0892,298.69,81,92,0.84,BR,1787096202
243,shukat as sufi,31.26,34.2826,298.15,77,0,2.62,PS,1787096203
244,tralee,52.2704,-9.7026,288.45,93,95,2.18,IE,1787095746
245,shatrovo,56.5167,64.6333,286.64,75,100,2.87,RU,1787096205
246,huangpi,30.8845,114.3779,300.21,94,74,2.0,CN,1787096206
247,west lafayette,40.4259,-86.9081,299.38,71,100,3.09,US,1787096078
248,geesthacht,53.4333,10.3667,290.03,99,100,0.45,DE,1787096208
249,shalkar,47.8288,59.6258,298.89,27,96,1.59,KZ,1787096209
250,delvada,20.7667,71.0333,299.49,85,100,6.01,IN,1787096211
251,tafuna,-14.3358,-170.72,302.12,74,98,3.09,AS,1787095780
252,chonchi,-42.6128,-73.8092,282.26,94,86,1.0,CL,1787095760
253,portland,45.5234,-122.6762,304.71,45,1,1.79,US,1787095601
254,chegdomyn,51.1167,133.0167,291.05,70,100,1.56,RU,1787095616
255,kavarna,43.4333,28.3333,295.69,59,2,6.52,BG,1787096216
256,kalmunai,7.4167,81.8167,299.85,74,10,2.53,LK,1787095784
257,taitung city,22.7583,121.1444,301.3,78,32,3.09,TW,1787096218
258,bridgewater,44.3835,-64.5155,293.21,93,100,7.72,CA,1787095540
259,huanuni,-18.2667,-66.85,274.33,95,100,5.09,BO,1787096220
260,shenjiamen,29.9576,122.298,301.02,84,11,4.03,CN,1787096221
261,recreo,-29.2818,-65.061,285.68,37,8,4.39,AR,1787096223
262,calama,-22.4667,-68.9333,277.42,93,32,7.72,CL,1787095720
263,petropavlovsk-kamchatsky,53.0452,158.6483,295.48,56,31,4.0,RU,1787095771
264,barabai,-2.5833,115.3833,297.57,61,76,0.25,ID,1787096226
265,pasni,25.2631,63.471,299.88,81,99,3.95,PK,1787096227
266,ixtapa,20.7,-105.2,298.83,100,98,3.6,MX,1787096228
267,ondjiva,-17.0667,15.7333,286.17,44,0,0.51,AO,1787096229
268,el bauga,18.262,33.9081,305.94,16,21,6.24,SD,1787096230
269,grass valley,39.2191,-121.0611,305.42,24,94,0.89,US,1787096119
270,viqueque,-8.8673,126.3658,298.77,65,93,4.45,TL,1787096232
271,jutai,-5.1833,-68.9,295.91,98,93,1.95,BR,1787096233
272,ulsteinvik,62.3432,5.8487,285.24,78,0,1.34,NO,1787096235
273,katsuren-haebaru,26.3369,127.8719,302.16,93,100,8.23,JP,1787095779
274,harstad,68.799,16.5293,283.84,88,100,2.56,NO,1787096237
275,komsomol'skiy,43.9783,46.6985,294.0,86,40,0.89,RU,1787096238
276,haiku-pauwela,20.9219,-156.3051,301.58,74,95,10.28,US,1787095759
277,mount pearl,47.5166,-52.7813,288.33,75,44,4.12,CA,1787095759
278,lucea,18.451,-78.1736,303.07,80,55,3.6,JM,1787096241
279,igarka,67.4667,86.5833,289.07,57,70,2.91,RU,1787095760
280,coquimbo,-29.9533,-71.3436,287.0,91,5,3.6,CL,1787095752
281,prince george,53.9166,-122.753,299.05,50,77,4.63,CA,1787096244
282,kodiak,57.79,-152.4072,286.88,77,99,2.57,US,1787095491
283,sechura,-5.5569,-80.8222,296.96,70,49,9.96,PE,1787095761
284,xiongzhou,25.1167,114.3,301.37,85,78,1.34,CN,1787096249
285,pampas,-12.4,-74.9,279.85,88,23,3.15,PE,1787096251
286,katsuura,35.1333,140.3,299.97,80,96,1.45,JP,1787095785
287,ketchikan,55.3422,-131.6461,292.58,65,41,4.63,US,1787095756
288,alice springs,-23.7,133.8833,288.9,100,77,3.6,AU,1787095776
289,kalemie,-5.9475,29.1947,295.6,50,18,1.09,CD,1787096255
290,montevallo,33.1007,-86.8642,306.62,72,25,2.59,US,1787096256
291,piti village,13.4626,144.6933,300.18,91,46,5.14,GU,1787096257
292,yambio,4.5721,28.3955,293.2,95,97,1.43,SS,1787096258
293,bukavu,-2.5083,28.8608,292.84,66,78,0.58,CD,1787096259
294,kolokani,13.5728,-8.0339,299.62,68,93,2.37,ML,1787096261
295,nazarabad,35.9521,50.6075,311.6,27,0,1.67,IR,1787096263
296,san julian,21.0167,-102.1667,296.51,53,22,7.34,MX,1787096264
297,illela,13.7292,5.2975,299.12,63,100,3.34,NG,1787096265
298,port lincoln,-34.7333,135.8667,287.7,73,31,8.59,AU,1787096266
299,chumphon,10.3333,98.8333,297.55,89,100,2.75,TH,1787096267
300,nadym,65.5333,72.5167,287.69,62,6,4.34,RU,1787096268
301,zakamensk,50.3741,103.2863,284.35,98,100,0.5,RU,1787095789
302,maceio,-9.6658,-35.7353,296.84,88,10,5.14,BR,1787096270
303,ankazoabo,-22.2833,44.5167,291.17,71,13,2.42,MG,1787096271
304,ishinomaki,38.4167,141.3,300.52,79,13,2.1,JP,1787096273
305,salalah,17.0151,54.0924,298.2,88,100,3.09,OM,1787096274
306,ararat,39.8317,44.7049,295.92,43,3,1.71,AM,1787095789
307,batang,-6.4846,110.7083,299.35,77,85,2.77,ID,1787096276
308,puerto colombia,10.9878,-74.9547,302.2,81,100,7.77,CO,1787096277
309,lompoc,34.6391,-120.4579,296.56,76,84,5.14,US,1787095744
310,hinckley,52.5389,-1.3761,290.4,81,100,0.45,GB,1787096280
311,westport,41.1415,-73.3579,300.46,79,83,4.12,US,1787096011
312,calingasta,-31.3308,-69.4078,284.63,43,2,3.36,AR,1787096283
313,lakki,32.6079,70.9114,308.36,33,0,4.88,PK,1787096284
314,hailar,49.2,119.7,293.21,63,38,3.26,CN,1787096285
315,longyearbyen,78.2186,15.6401,279.06,70,89,2.57,SJ,1787095755
316,kelibia,36.8476,11.0939,299.94,73,0,7.84,TN,1787096287
317,beau vallon,-20.4189,57.6953,295.28,88,50,5.14,MU,1787095769
318,penza,53.2007,45.0046,291.86,65,65,2.09,RU,1787096290
319,pangody,65.85,74.4859,288.25,57,5,4.21,RU,1787095784
320,remire-montjoly,4.9167,-52.2667,300.17,83,5,2.06,GF,1787096292
321,aasiaat,68.7098,-52.8699,277.21,97,100,3.2,GL,1787096295
322,marktheidenfeld,49.8442,9.6039,292.91,92,100,0.89,DE,1787096296
323,klyuchi,52.2667,79.1667,286.15,77,49,3.09,RU,1787095753
324,tari,-11.1105,14.3559,290.9,64,6,1.2,AO,1787096298
325,arteche,12.2645,125.4048,302.98,65,98,2.34,PH,1787096299
326,conduaga,8.862,117.4893,301.5,81,56,2.84,PH,1787096300
327,kayenta,36.7278,-110.2546,306.7,15,26,4.8,US,1787096301
328,talara,-4.5772,-81.2719,297.57,73,22,10.29,PE,1787096302
329,afaahiti,-17.75,-149.2833,297.59,80,1,5.79,PF,1787095785
330,belmonte,-15.8631,-38.8828,295.02,83,60,3.49,BR,1787096304
331,kununurra,-15.7667,128.7333,296.14,78,1,1.54,AU,1787095785
332,kathu,7.9178,98.3332,303.54,99,100,7.57,TH,1787096307
333,port augusta,-32.5,137.7667,288.94,67,20,2.8,AU,1787096308
334,chupaca,-12.0667,-75.2833,284.83,63,30,2.45,PE,1787096309
335,yanchep,-31.55,115.6833,286.3,81,98,2.11,AU,1787096310
336,olonkinbyen,70.9221,-8.7187,277.67,87,80,5.06,SJ,1787095748
337,oranjemund,-28.55,16.4333,285.68,89,4,2.13,NA,1787096312
338,rapar,23.5667,70.6333,300.63,74,100,6.79,IN,1787096313
339,manta,-0.95,-80.7333,299.03,78,40,7.2,EC,1787096103
340,bafq,31.6128,55.4107,302.06,15,1,0.64,IR,1787096315
341,china,25.7,-99.2333,308.67,28,5,11.54,MX,1787096316
342,hadibu,12.65,54.0333,298.98,82,38,7.1,YE,1787095751
343,nemuro,43.3236,145.575,293.46,89,65,6.87,JP,1787096320
344,vila franca do campo,37.7167,-25.4333,296.38,91,37,2.29,PT,1787095752
345,bandar abbas,27.1865,56.2808,303.66,78,7,2.69,IR,1787096218
346,pisco,-13.7,-76.2167,294.18,60,1,9.77,PE,1787096323
347,qarazhal,48.0078,70.7903,293.37,45,100,2.22,KZ,1787096324
348,galliano,29.4422,-90.2992,306.15,58,100,5.14,US,1787095745
349,saldanha,-33.0117,17.9442,282.18,89,89,5.56,ZA,1787095755
350,shangrao,28.4532,117.9686,300.56,85,43,3.33,CN,1787096327
351,angaur state,6.906,134.13,301.75,73,95,5.41,PW,1787096328
352,ghormach,35.7306,63.7826,301.1,26,0,3.43,AF,1787096329
353,ghadamis,30.1337,9.5007,304.4,29,16,3.65,LY,1787096330
354,nioki,-2.7167,17.6833,299.36,63,63,1.46,CD,1787096331
355,kingscliff,-28.2667,153.5667,293.12,63,51,4.12,AU,1787096333
356,qufu,35.5967,116.9911,296.17,94,100,1.48,CN,1787096334
